je	I
la crevette	shrimp
les crustacés (m)	shellfish
les moules (f)	mussels
le poisson	fish
le thon	tuna(fish)
le saumon	salmon
la Volaille	Poultry
le poulet	chicken
la dinde	turkey
le canard	duck
l'oie (f)	goose
le foie	liver
les Fruits (m)	Fruit
les fruits (m) secs	dried fruit
la pomme	apple
la banane	banana
le raisin	grape
le raisin sec	raisin
le pamplemousse	grapefruit
le citron	lemon
le melon	melon
l'orange (f)	orange
la pêche	peach
la poire	pear
la prune	plum
l'ananas (m)	pineapple
la pastèque	watermelon
les Baies (f)	Berries
le cassis	blackcurrant
l'airelle (f), la myrtille	blueberry
la cerise	cherry
la framboise	raspberry
la fraise	strawberry
les Légumes (m)	Vegetables
la pomme de terre	potato
la tomate	tomato
le concombre	cucumber
le poivron	pepper (veg.)
l'oignon (m)	onion
le poireau	leek
la carotte	carrot
la laitue	lettuce
le chou	cabbage
le chou-fleur	cauliflower
les épinards (m)	spinach
les *haricots [verts]	[green] beans
les petits pois	peas
le maïs	corn
l'aubergine (f)	eggplant
le champignon	mushroom
l'asperge (f)	asparagus
la noix	nut, walnut
la noisette	hazelnut
la cacahuète	peanut
les Boissons (f)	Beverages
le café	coffee
le thé	tea
avec du lait	with milk
la tisane, l'infusion (f)	herbal tea
le chocolat (chaud)	hot chocolate
le jus	juice
le jus d'orange	orange juice
le coca	Coke
l'eau (f)	water
les glaçons (m)	ice cubes
l'Alcool	Alcohol
le vin	wine
le cidre	hard cider
la bière	beer
...blonde	light...
...brune	dark...
ivre	drunk
les Ustensiles (m)	Utensils
le couteau	knife
la fourchette	fork
la cuillère	spoon
l'assiette (f)	plate
le bol	bowl
la tasse	cup
une tasse de thé	a cup of tea
le verre	glass
la serviette	napkin
la poêle à frire	frying pan
l'ouvre- bouteille (m)	bottle opener
le tire-bouchon	corkscrew
la cafetière	coffee pot
l'ouvre-boîte (m)	can opener
le Ménage	Household
la Maison	House
l'appartement (m)	apartment
l'immeuble (m)	apartment building
HLM (Habitation à Loyer Modéré)	subsidized housing
le jardin	back yard, garden
la pelouse	lawn
le garage	garage
le toit	roof
le mur	wall
le plancher	floor
le plafond	ceiling
la fenêtre	window
le balcon	balcony
l'étage (m)	floor (level)
le rez de chaussée	ground fl.
le premier étage	second fl.
le grenier	attic
le sous-sol	basement
l'escalier (m)	stairs
l'ascenseur (m)	elevator
la porte	door
la sonnette	bell
la clef, la clé	key
les Pièces (f) et le Mobilier	Rooms and Furnishings
les meubles (m)	furniture
le salon	living room
le canapé	couch
le fauteuil	armchair
le téléviseur	TV (set)
regarder la télé	to watch TV
l'étagère (f)	shelf
le rideau	curtain
le tapis	rug
l'horloge (f)	clock
la salle à manger	dining room
la table	table
la chaise	chair
la chambre	bedroom
le lit	bed
le matelas	mattress
le drap	sheet
la couverture	blanket
l'oreiller (m)	pillow
la commode	dresser
le tiroir	drawer
le miroir	mirror
l'armoire (f)	closet
la salle de bains	bathroom
la baignoire	bathtub
la douche	shower
les toilettes (f)	toilet
le lavabo	sink
la cuisine	kitchen
le frigo	refrigerator
le four	oven
le micro-ondes	microwave
le lave-vaisselle	dishwasher
le tabouret	stool
le placard	linen closet
l'aspirateur (m)	vacuum
le Téléphone	Telephone
l'appel (m) téléphonique	phone call
le numéro de téléphone	phone number
décrocher	to pick up
composer	to dial
accrocher	to hang up
le portable	cell phone
Dans la Vill	Around Town
l'adresse (f)	address
la rue	street
le centre-ville	town center
les Institutions Publiques (f)	Public Institutions
la poste	post office
le courrier	mail
la lettre	letter
envoyer	to send
le timbre	stamp
la mairie, l'hôtel de ville	town hall
l'hôpital (m)	hospital
l'église (f)	church
la bibliothèque	library
la piscine	pool
le parc	park
l'Argent (m)	Money
?a coûte combien? C'est combien?	How much does it costي
vendre	to sell
le prix	price
payer	to pay
en espèces (f)	in cash
par chèque (m)	by check
par carte (f) de crédit	by credit card
le reçu	receipt
la monnaie	change (from a purchase)
la caisse	cash register
la banque	bank
le distributeur	ATM
les Courses (f)	Shopping
faire les courses (f)	to run errands, to go shopping
le marché	market
le centre commercial	mall
le magasin	store
le grand magasin	department store
les soldes (m)	sale
la boulangerie	bakery
la librairie	bookstore
la boucherie	butcher shop
l'épicerie (f)	grocery store
le supermarché	supermarket
la laverie	laundromat
les Loisirs (m)	Leisure
le divertissement	entertainment
le passe-temps	hobby
le musée	museum
l'exposition (f)	exhibition
le spectacle	show
le concert	concert
le cinéma	movie theater
le film	movie
le théâtre	theater
la pièce	play
l'opéra (m)	opera
le cirque	circus
la représentation, la séance	performance
le bar	bar, pub
le club	club
la boîte (de nuit)	nightclub
aller en boîte	to go clubbing
la soirée, la fête	party
le Sport	Sports
faire du sport	to play sports
faire du tennis jouer au tennis	to play tennis
faire du ski	to go skiing
le base-ball	baseball
le basket	basketball
la danse	dancing
l'escrime (f)	fencing
le football américain	football
le hockey	hockey
monter à cheval	to go horse-back riding
le patin à glace	ice skating
patiner	to skate
la voile	sailing
le ski	ski
le foot	soccer
la natation	swimming
nager	to swim
le tennis	tennis
jouer...	to play...
aux cartes (f)	cards
aux dames (f)	checkers
aux échecs (m)	chess
au billiard	pool
la partie	round, hand
le jeu vidéo	video game
la Musique	Music
de la flûte	the flute
de la guitare	the guitar
du piano	the piano
du violon	the violin
l'Education (f)	Education
apprendre	to learn
étudier	to study
[à qqn]	[smbdy]
[de faire qqch]	to teach [to do smth]
enseigner	to teach
[qqch] [à qqn]	[smbdy] [smth]
l'?cole (f)	School
l'école (f) maternelle	nursery school
l'école (f) primaire	elementary school
le collège	junior high school
le lycée	high school
l'université (f)	college, university
la classe	grade (level)
la note	grade (mark)
le cours, la leçon	class (lesson)
la récréation, la récré	recess
la cantine	cafeteria
l'élève (m, f)	pupil (through collège)
le/la lycéen(ne)	student (lycée)
l'étudiant(e)	student (university)
le professeur, le prof	teacher, professor
l'instituteur (-trice)	elementary school teacher
le maître (la maîtresse)	from pupil's perspective
l'Année scolaire	School Year
les vacances (f)	vacation
les grandes vacances	summer vacation
le jour de congé	day off
la rentrée	first day of school
les Matières (f)	Subjects
la lecture	reading
l'écriture	writing
l'orthographe (f)	spelling
les maths (f. pl.)	mathematics
l'art (m)	art
les beaux-arts	fine arts
la musique	music
la géographie	geography
l'histoire (f)	history
la science	science
la biologie	biology
la chimie	chemistry
la physique	physics
l'informatique (f)	computer science
la science politique	political science
la (science) economique	economics
la philosophie	philosophy
la psychologie	psychology
la littérature	literature
la langue étrangère	foreign language
l'anglais (m)	English
le français	French
l'espagnol (m)	Spanish
l'italien (m)	Italian
l'allemand (m)	German
l'Attirail (m)	School Supplies
le classeur	binder
le carnet	notebook
le cahier	workbook
le livre	book
la colle	glue
le papier	paper
la feuille (de papier)	sheet of paper
le stylo	pen
le crayon	pencil
l'agrafeuse (f)	stapler
la craie	chalk
Dans la Salle de Classe	In the Classroom
la question	question
lever la main	to raise (one's) hand
la réponse	answer
l'exercice (m)	exercise
la rédaction, la composition	essay
les devoirs (m)	homework
faire les devoirs	to do homework
l'examen (m)	test
passer...	to take a...
réussir...	to pass a...
échouer...	to fail a...
le tableau (noir)	chalkboard, blackboard
effacer	to erase
le pupitre	desk (pupil's)
l'Université (f)	University
la faculté, la fac	department
la médecine	medicine
la faculté de médecine	medical school
le droit	law
le diplôme	diploma
être diplômé(e) en...	to have a diploma in...
la licence	degree
le/la licencié(e) ès lettres	bachelor of arts (BA)
le/la licencié(e) ès sciences	bachelor of science (BS)
la maîtrise	master's degree
Sur la Route	On the Road
conduire	to drive
le permis de conduire	driver's license
le chauffeur	driver
le passager (la passagère)	passenger
